Distance L-deH,Bulk Modulus L-deH,Distance LH,Bulk Modulus LH,Distance L-deM,Bulk Modulus L-deM,Distance LM,Bulk Modulus LM,Distance de-LMH,Bulk Modulus de-LMH,Distance LMH,Bulk Modulus LMH
548.55,4471.3,693.92,8680.7,603.48,6901.7,501.88,11090,588.72,9191.5,682.55,8502.3
547.39,4525.2,692.77,8771.7,602.44,6968.5,501.45,11142,588.34,9302.8,681.8,8577.9
546.23,4579.8,691.62,8864.2,601.4,7036.9,501.02,11194,587.96,9415.3,681.03,8653.8
545.08,4635.2,690.47,8958.4,600.36,7107.2,500.58,11248,587.58,9527.9,680.27,8730
543.93,4691.5,689.32,9054.2,599.31,7179.1,500.14,11303,587.2,9640.2,679.5,8806.4
542.77,4748.6,688.16,9151.6,598.26,7252.9,499.7,11360,586.81,9752,678.73,8883.2
541.62,4806.5,686.99,9250.8,597.21,7328.4,499.25,11417,586.43,9863.4,677.95,8960.3
540.47,4865.3,685.82,9351.7,596.16,7405.8,498.8,11476,586.05,9974.2,677.18,9037.7
539.31,4925,684.65,9454.4,595.1,7485.1,498.34,11537,585.67,10084,676.4,9115.3
538.16,4985.5,683.48,9558.8,594.04,7566.3,497.89,11598,585.29,10194,675.61,9193.3
537.01,5047,682.3,9665.1,592.98,7649.5,497.43,11661,584.91,10303,674.82,9271.6
535.86,5109.3,681.12,9773.2,591.92,7734.7,496.96,11725,584.53,10411,674.03,9350.2
534.71,5172.6,679.94,9883.2,590.85,7821.9,496.49,11790,584.14,10519,673.24,9429.7
533.56,5236.9,678.75,9994.8,589.79,7911.2,496.02,11857,583.76,10625,672.44,9510
532.41,5302.1,677.56,10108,588.72,8002.6,495.55,11924,583.38,10731,671.64,9591.1
531.27,5368.3,676.37,10221,587.65,8096.2,495.07,11993,582.99,10836,670.84,9673.2
530.12,5435.5,675.17,10336,586.58,8192,494.58,12064,582.61,10940,670.03,9756.1
528.97,5503.7,673.97,10451,585.51,8290.1,494.1,12135,582.22,11043,669.22,9839.9
527.83,5573,672.77,10567,584.43,8390.5,493.61,12208,581.83,11145,668.4,9924.5
526.69,5643.3,671.56,10684,583.36,8493.3,493.12,12282,581.45,11246,667.59,10010
525.54,5714.6,670.35,10802,582.28,8598.5,492.62,12357,581.06,11346,666.77,10097
524.4,5787.1,669.14,10921,581.21,8706.2,492.12,12434,580.67,11445,665.94,10184
523.26,5860.7,667.92,11041,580.13,8816.5,491.62,12512,580.28,11543,665.12,10272
522.12,5935.4,666.7,11162,579.06,8928.9,491.12,12591,579.89,11639,664.29,10362
520.98,6011.3,665.48,11283,577.98,9042.4,490.61,12671,579.49,11735,663.45,10452
519.85,6088.3,664.25,11406,576.9,9156.8,490.1,12753,579.1,11829,662.62,10543
518.71,6166.6,663.02,11529,575.83,9272.1,489.58,12836,578.7,11922,661.78,10635
517.58,6246,661.79,11653,574.75,9388.3,489.06,12920,578.31,12014,660.93,10728
516.44,6326.7,660.55,11779,573.67,9505.5,488.54,13006,577.91,12104,660.09,10822
515.31,6408.7,659.31,11905,572.59,9623.6,488.02,13093,577.51,12194,659.24,10917
514.18,6491.9,658.06,12032,571.51,9742.5,487.49,13181,577.11,12282,658.38,11013
513.05,6576.5,656.81,12160,570.43,9862.4,486.96,13271,576.7,12368,657.53,11110
511.92,6662.3,655.55,12289,569.35,9983.2,486.43,13361,576.3,12453,656.67,11208
510.8,6749.6,654.3,12419,568.27,10105,485.89,13454,575.89,12537,655.8,11308
509.67,6838.2,653.03,12549,567.19,10227,485.35,13547,575.48,12620,654.94,11408
508.55,6928.2,651.77,12681,566.1,10351,484.8,13642,575.07,12701,654.07,11509
507.43,7019.7,650.5,12814,565.02,10475,484.26,13738,574.66,12781,653.2,11611
506.31,7112.4,649.22,12947,563.93,10600,483.71,13837,574.24,12860,652.32,11714
505.19,7206.5,647.94,13082,562.84,10727,483.15,13937,573.83,12937,651.44,11819
504.08,7302,646.66,13217,561.76,10854,482.6,14040,573.41,13013,650.56,11924
502.96,7398.8,645.37,13353,560.67,10981,482.04,14144,572.98,13087,649.67,12031
501.85,7497,644.08,13491,559.58,11110,481.48,14250,572.56,13160,648.79,12138
500.74,7596.7,642.79,13629,558.48,11240,480.91,14359,572.13,13232,647.89,12247
499.63,7697.8,641.48,13768,557.39,11370,480.35,14470,571.7,13302,647,12357
498.52,7800.3,640.18,13908,556.3,11502,479.78,14582,571.27,13371,646.1,12468
497.42,7904.4,638.87,14050,555.2,11634,479.2,14697,570.84,13439,645.2,12580
496.32,8009.9,637.56,14192,554.1,11767,478.63,14814,570.4,13505,644.3,12694
495.21,8117,636.24,14335,553,11901,478.05,14934,569.96,13570,643.39,12808
494.11,8225.7,634.91,14478,551.9,12035,477.47,15055,569.52,13634,642.48,12924
493.02,8335.9,633.58,14620,550.8,12171,476.89,15178,569.07,13696,641.57,13041
491.92,8447.8,632.25,14763,549.69,12307,476.3,15304,568.62,13757,640.65,13159
490.82,8561.3,630.91,14904,548.58,12445,475.71,15432,568.17,13817,639.73,13278
489.73,8676.4,629.57,15045,547.48,12583,475.12,15563,567.71,13875,638.81,13399
