19,1.6614e+06
20,1.2906e+06
21,1.0204e+06
22,8.1859e+05
23,6.6467e+05
24,5.4525e+05
25,4.5121e+05
26,3.762e+05
27,3.1568e+05
28,2.6636e+05
29,2.2581e+05
30,1.922e+05
31,1.6413e+05
31.2,1.5908e+05
31.4,1.5421e+05
31.6,1.4949e+05
31.8,1.4494e+05
32,1.4053e+05
32.2,1.3627e+05
32.4,1.3215e+05
32.6,1.2816e+05
32.8,1.243e+05
33,1.2056e+05
33.2,1.1694e+05
33.4,1.1344e+05
33.6,1.1005e+05
33.8,1.0676e+05
34,1.0357e+05
34.2,1.0048e+05
34.4,97484
34.6,94579
34.8,91762
35,89029
35.2,86377
35.4,83803
35.6,81305
35.8,78879
36,76524
36.2,74237
36.4,72015
36.6,69856
36.8,67758
37,65720
37.2,63738
37.4,61811
37.6,59937
37.8,58114
38,56341
38.2,54617
38.4,52938
38.6,51305
38.8,49715
39,48167
39.2,46660
39.4,45193
39.6,43763
39.8,42371
40,41014
40.2,39692
40.4,38404
40.6,37148
40.8,35924
41,34730
41.2,33567
41.4,32432
41.6,31325
41.8,30245
42,29191
42.2,28163
42.4,27160
42.6,26180
42.8,25224
43,24291
43.2,23380
43.4,22490
43.6,21621
43.8,20772
44,19943
44.2,19132
44.4,18341
44.6,17567
44.8,16811
45,16072
45.2,15349
45.4,14643
45.6,13952
45.8,13276
46,12615
46.2,11969
46.4,11337
46.6,10719
46.8,10113
47,9521.1
47.2,8941.5
47.4,8374.2
47.6,7818.9
47.8,7275.3
48,6743.1
48.2,6221.9
48.4,5711.6
48.6,5211.7
48.8,4722.2
49,4242.6
49.2,3772.8
49.4,3312.5
49.6,2861.5
49.8,2419.6
50,1986.4
50.2,1561.9
50.4,1145.8
50.6,737.85
50.8,337.92
51,-54.212
51.2,-438.72
51.4,-815.79
51.6,-1185.6
51.8,-1548.3
52,-1904.1
52.2,-2253.2
52.4,-2595.6
52.6,-2931.6
52.8,-3261.3
53,-3584.8
53.2,-3902.4
53.4,-4214
53.6,-4519.9
53.8,-4820.2
54,-5115.1
54.2,-5404.5
54.4,-5688.7
54.6,-5967.8
54.8,-6241.9
55,-6511.1
55.2,-6775.5
55.4,-7035.2
55.6,-7290.3
55.8,-7541
56,-7787.2
56.2,-8029.2
56.4,-8267
56.6,-8500.7
56.8,-8730.3
57,-8956
57.2,-9177.9
57.4,-9396
57.6,-9610.4
57.8,-9821.1
58,-10028
58.2,-10232
58.4,-10433
58.6,-10630
58.8,-10823
59,-11014
59.2,-11202
59.4,-11386
59.6,-11567
59.8,-11746
60,-11922
60.2,-12094
60.4,-12265
60.6,-12432
60.8,-12597
61,-12759
61.2,-12918
61.4,-13075
61.6,-13230
61.8,-13382
62,-13532
62.2,-13679
62.4,-13825
62.6,-13968
62.8,-14109
63,-14247
63.2,-14384
63.4,-14518
63.6,-14651
63.8,-14782
64,-14910
64.2,-15037
64.4,-15162
64.6,-15285
64.8,-15406
65,-15525
65.2,-15643
65.4,-15759
65.6,-15873
65.8,-15986
66,-16097
66.2,-16206
66.4,-16314
66.6,-16421
66.8,-16525
67,-16629
67.2,-16731
67.4,-16831
67.6,-16930
67.8,-17028
68,-17124
68.2,-17220
68.4,-17313
68.6,-17406
68.8,-17497
69,-17587
69.2,-17676
69.4,-17763
69.6,-17850
69.8,-17935
70,-18019
70.2,-18102
70.4,-18184
70.6,-18265
70.8,-18344
71,-18423
71.2,-18501
71.4,-18578
71.6,-18653
71.8,-18728
72,-18802
72.2,-18874
72.4,-18946
72.6,-19017
72.8,-19087
73,-19157
73.2,-19225
73.4,-19292
73.6,-19359
73.8,-19425
74,-19490
74.2,-19554
74.4,-19617
74.6,-19680
74.8,-19742
75,-19803
75.2,-19863
75.4,-19923
75.6,-19982
75.8,-20040
76,-20097
76.2,-20154
76.4,-20210
76.6,-20266
76.8,-20320
77,-20375
77.2,-20428
77.4,-20481
77.6,-20533
77.8,-20585
78,-20636
78.2,-20686
78.4,-20736
78.6,-20786
78.8,-20835
79,-20883
79.2,-20930
79.4,-20978
79.6,-21024
79.8,-21070
80,-21116
80.2,-21161
80.4,-21205
80.6,-21250
80.8,-21293
81,-21336
81.2,-21379
81.4,-21421
81.6,-21463
81.8,-21504
82,-21545
82.2,-21585
82.4,-21625
82.6,-21665
82.8,-21704
83,-21742
83.2,-21781
83.4,-21818
83.6,-21856
83.8,-21893
84,-21930
84.2,-21966
84.4,-22002
84.6,-22037
84.8,-22073
85,-22107
85.2,-22142
85.4,-22176
85.6,-22210
85.8,-22243
86,-22276
86.2,-22309
86.4,-22341
86.6,-22374
86.8,-22405
87,-22437
87.2,-22468
87.4,-22499
87.6,-22529
87.8,-22560
88,-22590
88.2,-22619
88.4,-22649
88.6,-22678
88.8,-22706
89,-22735
89.2,-22763
89.4,-22791
89.6,-22819
89.8,-22846
90,-22873
