Distance L-deH,Bulk Modulus L-deH,Distance LH,Bulk Modulus LH,Distance L-deM,Bulk Modulus L-deM,Distance LM,Bulk Modulus LM,Distance de-LMH,Bulk Modulus de-LMH,Distance LMH,Bulk Modulus LMH
272.2,2.6064e+05,303.43,1.2788e+06,301.02,4.7121e+05,328.89,6.0587e+05,364.7,98440,373.58,2.6103e+05
271.48,2.6367e+05,303.01,1.3058e+06,300.28,4.7969e+05,328.52,6.1641e+05,363.79,99437,372.6,2.6585e+05
270.76,2.6674e+05,302.59,1.333e+06,299.55,4.8837e+05,328.15,6.2715e+05,362.88,1.0045e+05,371.63,2.708e+05
270.04,2.6984e+05,302.17,1.3606e+06,298.82,4.9727e+05,327.78,6.3809e+05,361.98,1.0147e+05,370.66,2.7591e+05
269.33,2.7297e+05,301.75,1.3885e+06,298.1,5.0637e+05,327.41,6.4923e+05,361.07,1.025e+05,369.71,2.8117e+05
268.61,2.7613e+05,301.34,1.4168e+06,297.38,5.157e+05,327.05,6.6057e+05,360.17,1.0354e+05,368.76,2.8658e+05
267.89,2.7933e+05,300.92,1.4454e+06,296.66,5.2525e+05,326.68,6.7213e+05,359.26,1.046e+05,367.81,2.9215e+05
267.17,2.8256e+05,300.51,1.4743e+06,295.95,5.3504e+05,326.32,6.839e+05,358.36,1.0567e+05,366.88,2.9783e+05
266.46,2.8583e+05,300.11,1.5034e+06,295.24,5.4506e+05,325.96,6.9588e+05,357.46,1.0675e+05,365.95,3.0363e+05
265.74,2.8913e+05,299.7,1.5329e+06,294.54,5.5527e+05,325.6,7.0809e+05,356.56,1.0784e+05,365.03,3.0953e+05
265.02,2.9247e+05,299.3,1.5627e+06,293.84,5.6564e+05,325.25,7.2053e+05,355.65,1.0895e+05,364.12,3.1556e+05
264.31,2.9585e+05,298.9,1.593e+06,293.15,5.7619e+05,324.89,7.332e+05,354.75,1.1007e+05,363.21,3.2169e+05
263.59,2.9926e+05,298.5,1.6238e+06,292.46,5.8691e+05,324.54,7.4611e+05,353.85,1.112e+05,362.31,3.2795e+05
262.87,3.027e+05,298.1,1.6551e+06,291.77,5.978e+05,324.18,7.5925e+05,352.95,1.1235e+05,361.42,3.3432e+05
262.16,3.0619e+05,297.7,1.6869e+06,291.09,6.0887e+05,323.83,7.7265e+05,352.05,1.1351e+05,360.54,3.4082e+05
261.44,3.0971e+05,297.31,1.7193e+06,290.41,6.2011e+05,323.49,7.8629e+05,351.16,1.1469e+05,359.66,3.4744e+05
